TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;PF_PJ_EMISSOR;CPF_CNPJ_EMISSOR;EMISSOR;DT_VENC;TITULO_POSFX;CD_INDEXADOR_POSFX;DS_INDEXADOR_POSFX;PR_INDEXADOR_POSFX;PR_CUPOM_POSFX;PR_TAXA_PREFX;TITULO_CETIP;TITULO_GARANTIA;CNPJ_INSTITUICAO_FINANC_COOBR
CLASSES - FIF;01.597.187/0001-15;SPECIAL RENDA FIXA REFERENCIADO DI FUNDO DE INVESTIMENTO FINANCEIRO RESPONSABILIDADE LIMITADA;2025-05-31;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;;;;;91279.000000;93744480.67;;;PJ;08.467.115/0001-00;CIA ESTADUAL DE DISTRIBUIÇÃO DE ENE;2027-10-14;S;DI1;DI de um dia;100.000000;1.400000;;S;N;
CLASSES - FIF;01.597.187/0001-15;SPECIAL RENDA FIXA REFERENCIADO DI FUNDO DE INVESTIMENTO FINANCEIRO RESPONSABILIDADE LIMITADA;2025-05-31;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;;;;;9.000000;71277919.94;;;PJ;01.417.222/0001-77;MRS LOGISTICA S.A.;2025-06-02;S;DI1;DI de um dia;100.000000;1.300000;;S;N;
CLASSES - FIF;01.630.558/0001-13;SANTANDER RENDA FIXA REFERENCIADO DI - FIF RESP LIMITADA;2025-05-31;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;;;;;59867.000000;63864762.91;;;PJ;28.201.130/0001-01;ENERGISA TRANSM;2025-06-08;S;DI1;DI de um dia;100.000000;1.314087;;S;N;
CLASSES - FIF;01.630.558/0001-13;SANTANDER RENDA FIXA REFERENCIADO DI - FIF RESP LIMITADA;2025-05-31;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;;;;;82967.000000;88507320.97;;;PJ;28.201.130/0001-01;ENERGISA TRANSM;2025-06-08;S;DI1;DI de um dia;100.000000;1.449999;;S;N;
CLASSES - FIF;01.630.558/0001-13;SANTANDER RENDA FIXA REFERENCIADO DI - FIF RESP LIMITADA;2025-05-31;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;;;;;72999.000000;37697144.19;;;PJ;04.370.282/0001-70;COPEL GERAÇÃO;2025-09-10;S;DI1;DI de um dia;100.000000;1.334415;;S;N;
CLASSES - FIF;01.630.558/0001-13;SANTANDER RENDA FIXA REFERENCIADO DI - FIF RESP LIMITADA;2025-05-31;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;;;;;21178.000000;22639404.63;;;PJ;15.139.629/0001-94;COELBA;2027-06-20;S;DI1;DI de um dia;100.000000;1.413421;;S;N;
CLASSES - FIF;02.224.382/0001-62;SANTANDER  EQUILÍBRIO RENDA FIXA REF DI CRÉDITO PRIVADO - FIF RESP LIMITADA;2025-05-31;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;;;;;21917.000000;11318077.09;;;PJ;04.370.282/0001-70;COPEL GERAÇÃO;2025-09-10;S;DI1;DI de um dia;100.000000;1.334415;;S;N;
CLASSES - FIF;03.001.786/0001-50;BB EXCLUSIVE 11 FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CRÉDITO PRIVADO RESP LIMITADA;2025-05-31;Debêntures;Debênture Permutável;N;Para negociação;;;;;2559.000000;275475.03;;;PJ;01.599.101/0001-93;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;2025-12-31;S;PRE;Taxa de juro prefixada;100.000000;12.682500;;S;N;
CLASSES - FIF;03.001.786/0001-50;BB EXCLUSIVE 11 FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CRÉDITO PRIVADO RESP LIMITADA;2025-05-31;Debêntures;Debênture simples;S;Mantido até o vencimento;;;;;4898.000000;4928475.47;;;PJ;01.027.058/0001-91;CIELO SA;2029-05-08;S;DI1;DI de um dia;100.000000;0.540000;;S;N;
CLASSES - FIF;03.233.076/0001-55;PORTO SEGURO EMPRESARIAL RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO CRÉDITO PRIVADO RESP LIMITADA;2025-05-31;Debêntures;Debênture simples;N;Para negociação;;;;;100000.000000;100395850.97;;;PJ;02.041.460/0001-93;V TAL REDE NEUTRA DE TELECOMUNICACO;2032-04-15;S;IAP;Índice de Preços ao Consumidor Amplo (IPCA/IBGE);100.000000;8.270000;;S;N;
CLASSES - FIF;04.087.328/0001-48;IU WESTERN ASSET CORPORATE III FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA RESPONSABILIDADE LIMITADA;2025-05-31;Debêntures;Debênture simples;N;Para negociação;;;;;473.000000;475943.02;;;PJ;01.027.058/0001-91;CIELO SA;2029-05-08;S;DI1;DI de um dia;100.000000;0.540000;;S;N;
CLASSES - FIF;04.194.774/0001-51;IU WESTERN ASSET CORPORATE RV 25 FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO RESP LIMITADA;2025-05-31;Debêntures;Debênture simples;N;Para negociação;;;;;73.000000;73454.21;;;PJ;01.027.058/0001-91;CIELO SA;2029-05-08;S;DI1;DI de um dia;100.000000;0.540000;;S;N;
CLASSES - FIF;04.511.306/0001-63;IU WESTERN ASSET PERFORMANCE V FIF RENDA FIXA RESP LIMITADA;2025-05-31;Debêntures;Debênture simples;N;Para negociação;;;;;19.000000;19118.22;;;PJ;01.027.058/0001-91;CIELO SA;2029-05-08;S;DI1;DI de um dia;100.000000;0.540000;;S;N;
CLASSES - FIF;04.786.966/0001-57;DUCAPE FUNDO DE INVESTIMENTO FINANCEIRO;2025-05-31;Debêntures;Debênture simples;N;Para negociação;;;;;4233.000000;22926.93;;;PJ;60.444.437/0001-46;LIGHT SERVICOS ELETRICIDADE SA;2027-08-31;S;PRE;Taxa de juro prefixada;100.000000;0.000000;;S;N;
CLASSES - FIF;04.786.966/0001-57;DUCAPE FUNDO DE INVESTIMENTO FINANCEIRO;2025-05-31;Debêntures;Debênture simples;N;Para negociação;;;;;115.000000;53710.53;;;PJ;01.599.101/0001-93;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;2027-12-31;S;DI1;DI de um dia;100.000000;0.000000;;S;N;
CLASSES - FIF;04.786.966/0001-57;DUCAPE FUNDO DE INVESTIMENTO FINANCEIRO;2025-05-31;Debêntures;Debênture simples;N;Para negociação;;;;;1.000000;443.62;;;PJ;01.599.101/0001-93;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;2029-01-15;S;DI1;DI de um dia;100.000000;4.500000;;S;N;
CLASSES - FIF;04.786.966/0001-57;DUCAPE FUNDO DE INVESTIMENTO FINANCEIRO;2025-05-31;Títulos ligados ao agronegócio;CRA;N;Para negociação;;;;;51.000000;26078.48;;;PJ;02.773.542/0001-22;OPEA SECURITIZADORA S.A.;2026-12-17;S;DI1;DI de um dia;100.000000;5.350000;;S;N;
CLASSES - FIF;04.841.576/0001-32;BRADESCO FIF - CLASSE DE INVESTIMENTO SUPRE II - RESP LIMITADA;2025-05-31;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;;;;;73.000000;37678.54;;;PJ;04.370.282/0001-70;COPEL GERACAO E;2025-09-10;S;DI1;DI de um dia;100.000000;1.336207;;S;N;
CLASSES - FIF;04.841.576/0001-32;BRADESCO FIF - CLASSE DE INVESTIMENTO SUPRE II - RESP LIMITADA;2025-05-31;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;;;;;39.000000;41604.42;;;PJ;00.864.214/0001-06;ENERGISA SA;2025-06-08;S;DI1;DI de um dia;100.000000;1.451921;;S;N;
CLASSES - FIF;04.871.799/0001-42;BRASIL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO FINANCEIRO MULTIMERCADO CP;2025-05-31;Debêntures;Debênture simples;N;Para negociação;;;;;18281.000000;99014.21;;;PJ;60.444.437/0001-46;LIGHT SERVICOS ELETRICIDADE SA;2027-08-31;S;PRE;Taxa de juro prefixada;100.000000;0.000000;;S;N;
CLASSES - FIF;04.899.165/0001-06;SUL AMÉRICA ITAPEMA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO DE RESPONSABILIDADE LIMITADA;2025-05-31;Debêntures;Debênture simples;N;Para negociação;;;;;3905.000000;3929297.00;;;PJ;01.027.058/0001-91;CIELO SA;2029-05-08;S;DI1;DI de um dia;100.000000;0.540000;;S;N;
CLASSES - FIF;05.011.902/0001-47;BRADESCO FIF - CLASSE DE INVESTIMENTO MULTI DUBLIN - RESP LIMITADA;2025-05-31;Debêntures;Debênture simples;N;Para negociação;;;;;1895.000000;1895773.80;;;PJ;06.248.349/0001-23;TRANS ASSOCIADA;2030-05-20;S;DI1;DI de um dia;100.000000;0.669999;;S;N;
CLASSES - FIF;05.011.902/0001-47;BRADESCO FIF - CLASSE DE INVESTIMENTO MULTI DUBLIN - RESP LIMITADA;2025-05-31;Debêntures;Debênture simples;S;Para negociação;;;;;5245.000000;5283091.02;;;PJ;01.027.058/0001-91;CIELO S.A;2029-05-08;S;DI1;DI de um dia;100.000000;0.539999;;S;N;
CLASSES - FIF;05.011.902/0001-47;BRADESCO FIF - CLASSE DE INVESTIMENTO MULTI DUBLIN - RESP LIMITADA;2025-05-31;Debêntures;Debênture simples;N;Para negociação;;;;;209.000000;210146.68;;;PJ;61.856.571/0001-17;COMGAS;2028-05-15;S;DI1;DI de um dia;100.000000;0.475668;;S;N;
CLASSES - FIF;05.011.902/0001-47;BRADESCO FIF - CLASSE DE INVESTIMENTO MULTI DUBLIN - RESP LIMITADA;2025-05-31;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;;;;;1460.000000;1541276.12;;;PJ;29.198.324/0001-68;ABC BRASIL COME;2026-12-20;S;DI1;DI de um dia;100.000000;0.749999;;S;N;
CLASSES - FIF;05.011.902/0001-47;BRADESCO FIF - CLASSE DE INVESTIMENTO MULTI DUBLIN - RESP LIMITADA;2025-05-31;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;;;;;1693.000000;873832.46;;;PJ;04.370.282/0001-70;COPEL GERACAO E;2025-09-10;S;DI1;DI de um dia;100.000000;1.336207;;S;N;
CLASSES - FIF;05.011.902/0001-47;BRADESCO FIF - CLASSE DE INVESTIMENTO MULTI DUBLIN - RESP LIMITADA;2025-05-31;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;;;;;843.000000;899295.51;;;PJ;00.864.214/0001-06;ENERGISA SA;2025-06-08;S;DI1;DI de um dia;100.000000;1.451921;;S;N;
CLASSES - FIF;05.357.507/0001-10;BANESTES INSTITUCIONAL FIF RENDA FIXA RESPONSABILIDADE LIMITADA;2025-05-31;Debêntures;Debênture simples;N;Para negociação;0.000000;0.00;0.000000;0.00;1000.000000;1065910.93;;;PJ;17.281.106/0001-03;COMPANHIA DE SANEAMENTO DE MINAS GERAIS COPASA MG;2030-09-15;S;IAP;Índice de Preços ao Consumidor Amplo (IPCA/IBGE);100.000000;7.100000;;S;N;
CLASSES - FIF;05.508.422/0001-96;EQTPREV STRATEGY FIF MULTIMERCADO CRÉDITO PRIVADO DE RESPONSABILIDADE LIMITADA;2025-05-31;Debêntures;Debênture simples;N;Para negociação;;;;;171.000000;172063.97;;;PJ;01.027.058/0001-91;CIELO SA;2029-05-08;S;DI1;DI de um dia;100.000000;0.540000;;S;N;
CLASSES - FIF;05.508.422/0001-96;EQTPREV STRATEGY FIF MULTIMERCADO CRÉDITO PRIVADO DE RESPONSABILIDADE LIMITADA;2025-05-31;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;;;;;427.000000;453838.10;;;PJ;33.000.167/0001-01;PETROLEO BRASILEIRO S.A. PETROBRAS;2030-02-25;S;DI1;DI de um dia;100.000000;1.650000;;S;N;
CLASSES - FIF;05.922.462/0001-80;UBS CONSENSO PÓS FIXADO FIF DE RENDA FIXA CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;2025-05-31;Debêntures;Debênture simples;N;Para negociação;;;;;1905.000000;1872301.93;;;PJ;01.637.895/0001-32;VOTORANTIM CIMENTOS SA;2032-04-16;S;DI1;DI de um dia;100.000000;0.670000;;S;N;
CLASSES - FIF;06.066.907/0001-30;ITAÚ RENDA FIXA CRED PRIV MASTER ACTIVE FIX FIF RESPONSABILIDADE LIMITADA;2025-05-31;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;;;;;144818.000000;148729589.52;;;PJ;08.467.115/0001-00;CIA ESTADUAL DE DISTRIBUIÇÃO DE ENE;2027-10-14;S;DI1;DI de um dia;100.000000;1.400000;;S;N;
CLASSES - FIF;06.066.907/0001-30;ITAÚ RENDA FIXA CRED PRIV MASTER ACTIVE FIX FIF RESPONSABILIDADE LIMITADA;2025-05-31;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;;;;;8.000000;63358151.06;;;PJ;01.417.222/0001-77;MRS LOGISTICA S.A.;2025-06-02;S;DI1;DI de um dia;100.000000;1.300000;;S;N;
CLASSES - FIF;07.889.704/0001-06;WA INCOME GENERATION ICATU PREV RF FUNDO DE INVESTIMENTO FINANCEIRO CRÉDITO PRIVADO RESP LIMITADA;2025-05-31;Debêntures;Debênture simples;N;Para negociação;;;;;88.000000;88547.54;;;PJ;01.027.058/0001-91;CIELO SA;2029-05-08;S;DI1;DI de um dia;100.000000;0.540000;;S;N;
CLASSES - FIF;08.370.193/0001-84;ARGENT FUNDO DE INVESTIMENTO FINANCEIRO;2025-05-31;Debêntures;Debênture simples;N;Para negociação;;;;;3473.000000;18810.59;;;PJ;60.444.437/0001-46;LIGHT SERVICOS ELETRICIDADE SA;2027-08-31;S;PRE;Taxa de juro prefixada;100.000000;0.000000;;S;N;
CLASSES - FIF;08.537.625/0001-07;G5 GRUMETE FIF - CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;2025-05-31;Títulos ligados ao agronegócio;CRA;N;Para negociação;;;;;362.000000;322075.08;;;PJ;10.753.164/0001-43;ECO SECURITIZAD;2025-12-15;S;DI1;DI de um dia;100.000000;9.005322;;S;N;
CLASSES - FIF;08.931.953/0001-85;BNP PARIBAS AURORA CLASSE DE  INVESTIMENTO MULTIMERCADO - RESPONSABILIDADE  LIMITADA;2025-05-31;Debêntures;Debênture simples;N;Para negociação;;;;;139.000000;145087.96;;;PJ;16.670.085/0001-55;LOCALIZA;2027-02-25;S;DI1;DI de um dia;100.000000;1.603816;;S;N;
CLASSES - FIF;08.931.953/0001-85;BNP PARIBAS AURORA CLASSE DE  INVESTIMENTO MULTIMERCADO - RESPONSABILIDADE  LIMITADA;2025-05-31;Debêntures;Debênture simples;N;Para negociação;;;;;250.000000;173030.52;;;PJ;02.919.555/0001-67;ARTERIS SA;2027-03-11;S;DI1;DI de um dia;100.000000;1.666606;;S;N;
CLASSES - FIF;08.931.953/0001-85;BNP PARIBAS AURORA CLASSE DE  INVESTIMENTO MULTIMERCADO - RESPONSABILIDADE  LIMITADA;2025-05-31;Debêntures;Debênture simples;N;Para negociação;;;;;260.000000;269063.21;;;PJ;00.194.724/0001-13;AUREN OPERACOES;2027-03-15;S;DI1;DI de um dia;100.000000;1.732281;;S;N;
CLASSES - FIF;08.931.953/0001-85;BNP PARIBAS AURORA CLASSE DE  INVESTIMENTO MULTIMERCADO - RESPONSABILIDADE  LIMITADA;2025-05-31;Debêntures;Debênture simples;N;Para negociação;;;;;396.000000;407761.84;;;PJ;16.670.085/0001-55;LOCALIZA;2027-04-15;S;DI1;DI de um dia;100.000000;1.893913;;S;N;
CLASSES - FIF;08.931.953/0001-85;BNP PARIBAS AURORA CLASSE DE  INVESTIMENTO MULTIMERCADO - RESPONSABILIDADE  LIMITADA;2025-05-31;Debêntures;Debênture simples;N;Para negociação;;;;;208.000000;212129.41;;;PJ;16.670.085/0001-55;LOCALIZA;2027-05-10;S;DI1;DI de um dia;100.000000;1.893180;;S;N;
CLASSES - FIF;08.931.953/0001-85;BNP PARIBAS AURORA CLASSE DE  INVESTIMENTO MULTIMERCADO - RESPONSABILIDADE  LIMITADA;2025-05-31;Debêntures;Debênture simples;N;Para negociação;;;;;522.000000;548952.39;;;PJ;08.324.196/0001-81;COSERN;2027-07-15;S;DI1;DI de um dia;100.000000;1.313923;;S;N;
CLASSES - FIF;08.931.953/0001-85;BNP PARIBAS AURORA CLASSE DE  INVESTIMENTO MULTIMERCADO - RESPONSABILIDADE  LIMITADA;2025-05-31;Debêntures;Debênture simples;N;Para negociação;;;;;347.000000;196599.36;;;PJ;35.522.178/0001-87;CRCG;2027-08-10;S;DI1;DI de um dia;100.000000;1.976650;;S;N;
CLASSES - FIF;08.931.953/0001-85;BNP PARIBAS AURORA CLASSE DE  INVESTIMENTO MULTIMERCADO - RESPONSABILIDADE  LIMITADA;2025-05-31;Debêntures;Debênture simples;N;Para negociação;;;;;345.000000;362846.60;;;PJ;08.873.873/0001-10;ECORODOVIAS;2027-08-22;S;DI1;DI de um dia;100.000000;1.712142;;S;N;
CLASSES - FIF;08.931.953/0001-85;BNP PARIBAS AURORA CLASSE DE  INVESTIMENTO MULTIMERCADO - RESPONSABILIDADE  LIMITADA;2025-05-31;Debêntures;Debênture simples;N;Para negociação;;;;;82802.000000;39149.94;;;PJ;04.895.728/0001-80;CELPA;2028-05-15;S;DI1;DI de um dia;100.000000;2.223688;;S;N;
CLASSES - FIF;08.931.953/0001-85;BNP PARIBAS AURORA CLASSE DE  INVESTIMENTO MULTIMERCADO - RESPONSABILIDADE  LIMITADA;2025-05-31;Debêntures;Debênture simples;N;Para negociação;;;;;423.000000;440820.94;;;PJ;09.325.109/0001-73;AUTOPISTA PLANA;2028-09-15;S;DI1;DI de um dia;100.000000;2.440947;;S;N;
CLASSES - FIF;08.931.953/0001-85;BNP PARIBAS AURORA CLASSE DE  INVESTIMENTO MULTIMERCADO - RESPONSABILIDADE  LIMITADA;2025-05-31;Debêntures;Debênture simples;N;Para negociação;;;;;345.000000;270002.84;;;PJ;37.368.315/0001-04;COMPANHIA SECUR;2028-09-15;S;DI1;DI de um dia;100.000000;2.614512;;S;N;
CLASSES - FIF;08.931.953/0001-85;BNP PARIBAS AURORA CLASSE DE  INVESTIMENTO MULTIMERCADO - RESPONSABILIDADE  LIMITADA;2025-05-31;Debêntures;Debênture simples;N;Para negociação;;;;;376.000000;390036.59;;;PJ;00.864.214/0001-06;ENERGISA;2030-02-25;S;DI1;DI de um dia;100.000000;0.819688;;S;N;
CLASSES - FIF;08.931.953/0001-85;BNP PARIBAS AURORA CLASSE DE  INVESTIMENTO MULTIMERCADO - RESPONSABILIDADE  LIMITADA;2025-05-31;Debêntures;Debênture simples;N;Para negociação;;;;;398.000000;417359.76;;;PJ;08.467.115/0001-00;CEEE-D;2030-08-05;S;DI1;DI de um dia;100.000000;1.001774;;S;N;
CLASSES - FIF;08.931.953/0001-85;BNP PARIBAS AURORA CLASSE DE  INVESTIMENTO MULTIMERCADO - RESPONSABILIDADE  LIMITADA;2025-05-31;Debêntures;Debênture simples;N;Para negociação;;;;;1301.000000;658565.27;;;PJ;06.981.180/0001-16;CEMIG DISTRIBUI;2026-05-15;S;DI1;DI de um dia;100.000000;2.054997;;S;N;
CLASSES - FIF;09.275.554/0001-76;RM FUTURA MULTIMERCADO FUNDO DE INVESTIMENTO FINANCEIRO CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;2025-05-31;Debêntures;Debênture conversível;N;Para negociação;;;;;3100721.000000;11962887.04;;;PJ;07.909.776/0001-78;AMATA SA;2049-12-31;S;DI1;DI de um dia;100.000000;0.000000;;S;N;
CLASSES - FIF;09.275.554/0001-76;RM FUTURA MULTIMERCADO FUNDO DE INVESTIMENTO FINANCEIRO CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;2025-05-31;Debêntures;Debênture conversível;N;Para negociação;;;;;114726.000000;1265589.24;;;PJ;32.185.496/0001-01;AMATA NA CIDADE;2050-12-30;S;IAP;Índice de Preços ao Consumidor Amplo (IPCA/IBGE);100.000000;6.840000;;S;N;
CLASSES - FIF;09.577.500/0001-65;SANTANDER CRESCIMENTO RF CRÉD PRIV LONGO PRAZO - FIF RESP LIMITADA;2025-05-31;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;;;;;5662.000000;2923892.52;;;PJ;04.370.282/0001-70;COPEL GERAÇÃO;2025-09-10;S;DI1;DI de um dia;100.000000;1.334415;;S;N;
CLASSES - FIF;09.577.500/0001-65;SANTANDER CRESCIMENTO RF CRÉD PRIV LONGO PRAZO - FIF RESP LIMITADA;2025-05-31;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;;;;;1589.000000;1656010.00;;;PJ;21.314.559/0001-66;MOVIDA PARTI;2027-02-04;S;DI1;DI de um dia;100.000000;3.433995;;S;N;
CLASSES - FIF;09.577.500/0001-65;SANTANDER CRESCIMENTO RF CRÉD PRIV LONGO PRAZO - FIF RESP LIMITADA;2025-05-31;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;;;;;1456.000000;1552483.21;;;PJ;50.746.577/0001-15;COSAN SA INDUST;2028-12-27;S;DI1;DI de um dia;100.000000;1.630871;;S;N;
CLASSES - FIF;09.577.500/0001-65;SANTANDER CRESCIMENTO RF CRÉD PRIV LONGO PRAZO - FIF RESP LIMITADA;2025-05-31;Títulos ligados ao agronegócio;CRA;N;Para negociação;;;;;8775.000000;8906039.02;;;PJ;10.753.164/0001-43;ECO SECURITIZAD;2029-09-05;S;DI1;DI de um dia;100.000000;3.500000;;S;N;
CLASSES - FIF;10.264.179/0001-48;RT ENDURANCE FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO RESP LIMITADA;2025-05-31;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;;;;;5.000000;39598844.42;;;PJ;01.417.222/0001-77;MRS LOGISTICA S.A.;2025-06-02;S;DI1;DI de um dia;100.000000;1.300000;;S;N;
